Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Tingkat - I,Tingkat - II,Tingkat - III,Tingkat - IV,Tingkat - V,Tingkat - VI,Jumlah
2016,PROV. LAMPUNG,18,KAB. TULANG BAWANG BARAT,1812,Swasta,6,2,5,6,3,0,22
2016,PROV. LAMPUNG,18,KAB. PESISIR BARAT,1813,Swasta,0,0,0,0,0,0,0
2016,PROV. LAMPUNG,18,KAB. PESISIR BARAT,1813,Negeri,5,3,3,4,5,22,42
2016,PROV. LAMPUNG,18,KOTA BANDAR LAMPUNG,1871,Swasta,5,11,5,3,1,0,25
2016,PROV. LAMPUNG,18,KOTA BANDAR LAMPUNG,1871,Negeri,38,18,13,8,11,5,93
2016,PROV. LAMPUNG,18,KOTA METRO,1872,Negeri,0,1,0,1,4,0,6
2016,PROV. LAMPUNG,18,KOTA METRO,1872,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA,1901,Negeri,11,5,3,7,8,7,41
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA,1901,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BELITUNG,1902,Negeri,3,1,4,0,4,3,15
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BELITUNG,1902,Swasta,0,1,0,0,1,1,3
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA SELATAN,1903,Negeri,22,15,10,17,17,9,90
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA SELATAN,1903,Swasta,1,0,0,0,0,0,1
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA TENGAH,1904,Negeri,8,10,6,5,12,6,47
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA TENGAH,1904,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA BARAT,1905,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BANGKA BARAT,1905,Negeri,7,6,3,5,9,3,33
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BELITUNG TIMUR,1906,Negeri,1,0,1,0,1,1,4
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KAB. BELITUNG TIMUR,1906,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KOTA PANGKAL PINANG,1971,Negeri,5,2,3,2,3,2,17
2016,PROV. KEPULAUAN BANGKA BELITUNG,19,KOTA PANGKAL PINANG,1971,Swasta,0,8,0,1,0,0,9
2016,PROV. KEPULAUAN RIAU,21,KAB. BINTAN,2101,Negeri,10,2,0,1,2,1,16
2016,PROV. KEPULAUAN RIAU,21,KAB. BINTAN,2101,Swasta,0,0,1,0,0,0,1
2016,PROV. KEPULAUAN RIAU,21,KAB. KARIMUN,2102,Negeri,5,4,4,3,2,8,26
2016,PROV. KEPULAUAN RIAU,21,KAB. KARIMUN,2102,Swasta,0,0,0,1,2,0,3
2016,PROV. KEPULAUAN RIAU,21,KAB. NATUNA,2103,Negeri,2,0,2,0,1,0,5
2016,PROV. KEPULAUAN RIAU,21,KAB. NATUNA,2103,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN RIAU,21,KAB. LINGGA,2104,Swasta,0,0,1,0,0,0,1
2016,PROV. KEPULAUAN RIAU,21,KAB. LINGGA,2104,Negeri,8,4,5,3,6,2,28
2016,PROV. KEPULAUAN RIAU,21,KAB. KEPULAUAN ANAMBAS,2105,Swasta,0,0,0,0,0,0,0
2016,PROV. KEPULAUAN RIAU,21,KAB. KEPULAUAN ANAMBAS,2105,Negeri,0,1,2,2,0,0,5
2016,PROV. KEPULAUAN RIAU,21,KOTA BATAM,2171,Negeri,14,6,10,11,10,13,64
2016,PROV. KEPULAUAN RIAU,21,KOTA BATAM,2171,Swasta,26,41,21,14,15,4,121
2016,PROV. KEPULAUAN RIAU,21,KOTA TANJUNG PINANG,2172,Negeri,4,0,1,0,0,0,5
2016,PROV. KEPULAUAN RIAU,21,KOTA TANJUNG PINANG,2172,Swasta,1,1,1,0,0,0,3
2016,PROV. D.K.I. JAKARTA,31,KAB. ADM. KEP. SERIBU,3101,Negeri,0,0,0,0,0,0,0
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA PUSAT,3171,Swasta,6,2,2,6,3,1,20
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA PUSAT,3171,Negeri,15,13,7,9,14,5,63
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA UTARA,3172,Swasta,20,12,23,15,13,22,105
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA UTARA,3172,Negeri,11,15,7,8,7,3,51
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA BARAT,3173,Negeri,29,18,16,25,30,24,142
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA BARAT,3173,Swasta,14,19,20,29,15,3,100
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA SELATAN,3174,Swasta,13,21,15,14,11,6,80
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA SELATAN,3174,Negeri,25,16,22,22,26,30,141
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA TIMUR,3175,Swasta,13,13,20,18,14,10,88
2016,PROV. D.K.I. JAKARTA,31,KOTA ADM. JAKARTA TIMUR,3175,Negeri,44,19,20,27,29,16,155
2016,PROV. JAWA BARAT,32,KAB. BOGOR,3201,Swasta,17,19,11,13,8,8,76
2016,PROV. JAWA BARAT,32,KAB. BOGOR,3201,Negeri,143,147,139,148,182,181,940
2016,PROV. JAWA BARAT,32,KAB. SUKABUMI,3202,Swasta,4,3,4,2,1,0,14
2016,PROV. JAWA BARAT,32,KAB. SUKABUMI,3202,Negeri,23,18,14,8,7,17,87
